"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20162017",4979.78,82,220,197,23,239.64,227.01,12.63,2426,2430,-4,3457,3511,-54,4579,4659,-80
"ARI","20162017",4985.78,82,191,258,-67,187.91,261.32,-73.42,2281,2797,-516,3228,4037,-809,4285,5252,-967
"BOS","20162017",4964.12,82,232,209,23,233.14,193.18,39.95,2721,2197,524,3793,3096,697,5014,4190,824
"BUF","20162017",4984.85,82,199,231,-32,206.37,233.09,-26.73,2492,2816,-324,3384,3821,-437,4416,4942,-526
"CAR","20162017",4993.07,82,212,230,-18,238.01,218.6,19.41,2493,2320,173,3515,3300,215,4780,4362,418
"CBJ","20162017",4969.68,82,247,193,54,232.17,239.64,-7.47,2540,2488,52,3419,3465,-46,4564,4644,-80
"CGY","20162017",4973.93,82,222,219,3,205.52,214.22,-8.7,2389,2356,33,3302,3317,-15,4497,4428,69
"CHI","20162017",4979.98,82,240,212,28,224.93,223.84,1.1,2509,2574,-65,3348,3426,-78,4633,4652,-19
"COL","20162017",4953.78,82,165,276,-111,179.71,217.97,-38.26,2304,2603,-299,3215,3510,-295,4345,4586,-241
"DAL","20162017",4960.12,82,222,260,-38,241.94,248.64,-6.71,2505,2442,63,3612,3494,118,4889,4824,65
"DET","20162017",5018.57,82,198,244,-46,209.96,233.39,-23.42,2335,2509,-174,3270,3481,-211,4286,4547,-261
"EDM","20162017",4991.08,82,243,207,36,252.27,231.98,20.28,2550,2418,132,3504,3329,175,4705,4623,82
"FLA","20162017",5007.43,82,205,231,-26,213.62,224.87,-11.25,2644,2596,48,3618,3444,174,4669,4363,306
"L.A","20162017",4978.48,82,199,201,-2,227.39,203.88,23.52,2554,2120,434,3690,3062,628,5011,4139,872
"MIN","20162017",4967.38,82,263,206,57,231.64,189.8,41.84,2528,2465,63,3446,3446,0,4568,4607,-39
"MTL","20162017",4987.37,82,223,198,25,213.34,209.17,4.17,2460,2429,31,3448,3271,177,4735,4484,251
"N.J","20162017",4987.6,82,180,241,-61,200.19,229.52,-29.34,2279,2573,-294,3129,3516,-387,4042,4546,-504
"NSH","20162017",4985.75,82,238,220,18,221.72,209.77,11.95,2558,2473,85,3546,3461,85,4777,4571,206
"NYI","20162017",4978.62,82,239,238,1,244.27,246.64,-2.36,2479,2616,-137,3396,3689,-293,4575,5052,-477
"NYR","20162017",4974.23,82,253,216,37,244.04,228.12,15.91,2438,2465,-27,3438,3441,-3,4512,4685,-173
"OTT","20162017",4993.95,82,206,210,-4,208.99,209.85,-0.86,2464,2467,-3,3380,3513,-133,4592,4865,-273
"PHI","20162017",5007.7,82,212,231,-19,230.25,213.76,16.49,2584,2334,250,3635,3244,391,4961,4553,408
"PIT","20162017",4989.83,82,278,229,49,264.37,244.1,20.26,2751,2671,80,3652,3549,103,4818,4856,-38
"S.J","20162017",4955.93,82,219,200,19,230.99,212.22,18.77,2456,2268,188,3543,3265,278,4888,4624,264
"STL","20162017",4964.65,82,233,216,17,205.07,205.79,-0.72,2330,2327,3,3207,3229,-22,4276,4364,-88
"T.B","20162017",4988.13,82,230,224,6,214.63,207.98,6.65,2454,2492,-38,3470,3401,69,4605,4415,190
"TOR","20162017",4991.68,82,250,234,16,265.06,256.04,9.03,2617,2673,-56,3758,3802,-44,4989,4968,21
"VAN","20162017",4979.55,82,178,241,-63,192.71,242.82,-50.11,2273,2608,-335,3116,3528,-412,4240,4562,-322
"WPG","20162017",4964.83,82,246,255,-9,228.98,219.88,9.1,2448,2548,-100,3361,3444,-83,4432,4621,-189
"WSH","20162017",4973.15,82,261,177,84,224.41,216.15,8.26,2495,2282,213,3487,3275,212,4678,4377,301
