"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20102011",4992.72,82,235,233,2,203,240.45,-37.45,2334,2649,-315,3219,3794,-575,4093,5041,-948
"ARI","20102011",4995.48,82,226,220,6,217.06,237.33,-20.27,2486,2672,-186,3518,3770,-252,4658,4826,-168
"ATL","20102011",5012.82,82,218,262,-44,212.63,243.41,-30.79,2581,2638,-57,3532,3557,-25,4656,4849,-193
"BOS","20102011",4980.07,82,244,189,55,216.7,218.84,-2.14,2696,2683,13,3644,3619,25,4923,4791,132
"BUF","20102011",4999.08,82,240,228,12,218.96,212.22,6.74,2690,2514,176,3567,3522,45,4689,4690,-1
"CAR","20102011",4996.7,82,231,234,-3,230.3,247.49,-17.19,2517,2725,-208,3562,3880,-318,4935,5083,-148
"CBJ","20102011",5011.55,82,210,250,-40,217.07,211.23,5.83,2506,2447,59,3460,3310,150,4612,4424,188
"CGY","20102011",5018.72,82,241,230,11,211.84,184.23,27.61,2502,2338,164,3549,3257,292,4742,4466,276
"CHI","20102011",5000.23,82,252,220,32,220.08,201.01,19.07,2635,2353,282,3563,3180,383,4726,4323,403
"COL","20102011",4990.48,82,221,286,-65,207.23,232,-24.77,2394,2608,-214,3245,3639,-394,4254,4815,-561
"DAL","20102011",5002.2,82,222,226,-4,204.19,211.8,-7.61,2269,2504,-235,3333,3488,-155,4440,4692,-252
"DET","20102011",5004.6,82,257,237,20,236.39,213.98,22.41,2755,2512,243,3870,3425,445,4999,4342,657
"EDM","20102011",4989.55,82,191,260,-69,198.22,251.91,-53.69,2189,2597,-408,3029,3641,-612,4180,4860,-680
"FLA","20102011",5004.08,82,191,222,-31,208.99,219.45,-10.46,2493,2610,-117,3441,3609,-168,4609,4734,-125
"L.A","20102011",4993.75,82,209,196,13,202.48,186.98,15.5,2363,2288,75,3444,3254,190,4653,4286,367
"MIN","20102011",4985.2,82,203,228,-25,181.37,213.98,-32.61,2148,2625,-477,3011,3635,-624,4008,4764,-756
"MTL","20102011",4973.98,82,213,206,7,215.17,223.11,-7.94,2602,2538,64,3614,3464,150,4849,4736,113
"N.J","20102011",4975.87,82,171,207,-36,184.94,177.44,7.5,2344,2152,192,3179,2887,292,4149,3762,387
"NSH","20102011",4994.22,82,213,190,23,207.69,203.39,4.29,2362,2508,-146,3202,3425,-223,4280,4432,-152
"NYI","20102011",5013.12,82,225,258,-33,235.29,260.56,-25.26,2407,2620,-213,3308,3718,-410,4511,5105,-594
"NYR","20102011",4991.77,82,224,195,29,261.63,223.89,37.74,2453,2410,43,3393,3305,88,4472,4606,-134
"OTT","20102011",4972.03,82,190,245,-55,197.56,227.52,-29.96,2381,2559,-178,3273,3511,-238,4380,4626,-246
"PHI","20102011",4988.27,82,256,216,40,242.82,220.54,22.28,2605,2471,134,3556,3486,70,4764,4803,-39
"PIT","20102011",5016.07,82,228,196,32,208.96,200.87,8.09,2582,2351,231,3553,3226,327,4841,4308,533
"S.J","20102011",4998.78,82,243,208,35,268.66,202.22,66.45,2831,2369,462,3926,3279,647,5249,4420,829
"STL","20102011",4987.78,82,236,228,8,214.6,210.51,4.09,2475,2275,200,3518,3188,330,4675,4287,388
"T.B","20102011",5013.22,82,241,234,7,229.54,189.27,40.27,2606,2354,252,3595,3292,303,4738,4541,197
"TOR","20102011",4994.67,82,213,245,-32,195.98,218.75,-22.77,2360,2540,-180,3367,3630,-263,4720,4953,-233
"VAN","20102011",4984.9,82,257,180,77,226.19,218.29,7.9,2623,2470,153,3645,3364,281,4900,4435,465
"WSH","20102011",5010.6,82,219,191,28,228.36,201.23,27.13,2566,2375,191,3557,3318,239,4870,4575,295
