"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20172018",5002.32,82,231,209,22,242.52,258.89,-16.37,2476,2717,-241,3522,3853,-331,4647,5086,-439
"ARI","20172018",4999.25,82,206,251,-45,213.27,248.67,-35.4,2449,2643,-194,3475,3855,-380,4788,5040,-252
"BOS","20172018",4982.37,82,267,211,56,248.19,208.51,39.68,2703,2400,303,3734,3333,401,4926,4405,521
"BUF","20172018",4974.03,82,198,278,-80,201.51,242.52,-41.01,2558,2683,-125,3475,3669,-194,4491,4751,-260
"CAR","20172018",4981.95,82,225,253,-28,257.13,219.99,37.14,2781,2368,413,3929,3315,614,5318,4321,997
"CBJ","20172018",4995.43,82,236,226,10,242.73,242.17,0.57,2761,2568,193,3804,3482,322,4932,4700,232
"CGY","20172018",4979.67,82,216,243,-27,251.97,238.79,13.17,2759,2554,205,3991,3606,385,5334,4706,628
"CHI","20172018",4966.3,82,228,254,-26,243.1,251.01,-7.91,2794,2697,97,3741,3637,104,5320,4836,484
"COL","20172018",4962.18,82,255,236,19,210.67,234.79,-24.12,2434,2732,-298,3323,3777,-454,4505,5076,-571
"DAL","20172018",4981.22,82,231,222,9,243.04,215.27,27.78,2561,2444,117,3521,3393,128,4814,4665,149
"DET","20172018",4983.85,82,212,254,-42,217.51,240.69,-23.18,2491,2612,-121,3471,3598,-127,4501,4766,-265
"EDM","20172018",4976.47,82,229,262,-33,255.55,254.35,1.19,2741,2635,106,3787,3579,208,5027,4853,174
"FLA","20172018",4972.53,82,245,243,2,240.46,240.32,0.14,2823,2838,-15,3853,3788,65,4941,4960,-19
"L.A","20172018",4982.48,82,237,202,35,225.66,238.19,-12.53,2545,2537,8,3556,3597,-41,4739,4795,-56
"MIN","20172018",4978.93,82,250,229,21,227.3,201.39,25.92,2477,2569,-92,3342,3634,-292,4358,4929,-571
"MTL","20172018",4979.68,82,207,258,-51,246.67,243.38,3.29,2687,2650,37,3641,3663,-22,5000,5014,-14
"N.J","20172018",4989.83,82,243,240,3,232.65,235.37,-2.73,2599,2616,-17,3561,3671,-110,4564,4846,-282
"NSH","20172018",5006.68,82,261,204,57,233.67,232.08,1.59,2641,2660,-19,3700,3583,117,4926,4787,139
"NYI","20172018",4983.47,82,261,293,-32,235.69,263.27,-27.58,2573,2918,-345,3466,3948,-482,4692,5211,-519
"NYR","20172018",4979.5,82,228,263,-35,244.26,266.2,-21.94,2537,2899,-362,3456,3906,-450,4523,5134,-611
"OTT","20172018",4985.07,82,219,284,-65,202.3,242.67,-40.36,2515,2712,-197,3464,3751,-287,4676,5088,-412
"PHI","20172018",4996.85,82,249,236,13,244.13,218.02,26.11,2632,2448,184,3597,3437,160,4779,4667,112
"PIT","20172018",4966.32,82,270,248,22,256.51,236.5,20,2823,2553,270,3795,3446,349,4965,4630,335
"S.J","20172018",4985.38,82,247,226,21,255.77,228.52,27.25,2702,2489,213,3799,3474,325,5169,4855,314
"STL","20172018",4966.93,82,223,222,1,221.35,212.93,8.41,2677,2438,239,3664,3295,369,4905,4572,333
"T.B","20172018",4979.6,82,290,234,56,239.06,215.9,23.16,2680,2683,-3,3766,3584,182,4984,4711,273
"TOR","20172018",4988.08,82,270,230,40,262,243.41,18.59,2642,2776,-134,3713,3862,-149,5002,4966,36
"VAN","20172018",4972.98,82,218,259,-41,208.76,239.16,-30.4,2463,2644,-181,3368,3649,-281,4470,4801,-331
"VGK","20172018",4985.68,82,268,225,43,245.23,219.03,26.2,2687,2523,164,3734,3512,222,5020,4691,329
"WPG","20172018",4982.18,82,273,216,57,234.84,220.12,14.71,2643,2613,30,3649,3621,28,4839,4859,-20
"WSH","20172018",4975.1,82,256,238,18,221.12,252.51,-31.39,2378,2613,-235,3382,3761,-379,4547,4981,-434
