"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20132014",4990.88,82,263,203,60,242.59,218,24.58,2569,2354,215,3588,3436,152,4707,4678,29
"ARI","20132014",5016.35,82,210,224,-14,202.97,226.25,-23.28,2498,2541,-43,3496,3506,-10,4704,4635,69
"BOS","20132014",4978.82,82,258,171,87,223.33,189.36,33.97,2613,2385,228,3600,3227,373,4838,4278,560
"BUF","20132014",4894.52,82,150,243,-93,179.43,251.66,-72.23,2157,2816,-659,2935,3882,-947,3924,5120,-1196
"CAR","20132014",4979.15,82,205,226,-21,230.38,232.73,-2.35,2561,2537,24,3619,3598,21,4929,4694,235
"CBJ","20132014",4876.75,82,225,214,11,204.76,197.55,7.21,2430,2524,-94,3335,3343,-8,4443,4424,19
"CGY","20132014",4995.05,82,202,238,-36,192.07,216.48,-24.41,2199,2346,-147,3124,3320,-196,4243,4742,-499
"CHI","20132014",5007.45,82,261,212,49,237.43,192.5,44.93,2717,2229,488,3638,3013,625,4906,4036,870
"COL","20132014",5002.97,82,245,216,29,211.59,235.41,-23.82,2421,2678,-257,3249,3741,-492,4311,4943,-632
"DAL","20132014",4991.33,82,231,222,9,251.13,235.95,15.18,2599,2492,107,3706,3536,170,4954,4746,208
"DET","20132014",5026.45,82,217,221,-4,206.78,207.08,-0.3,2455,2401,54,3377,3198,179,4359,4212,147
"EDM","20132014",4981.9,82,199,267,-68,205.99,255.29,-49.3,2209,2696,-487,3046,3833,-787,4101,5085,-984
"FLA","20132014",4996.87,82,188,262,-74,200.12,230.31,-30.18,2451,2551,-100,3404,3420,-16,4467,4402,65
"L.A","20132014",5001.38,82,198,168,30,235.04,194.39,40.64,2595,2150,445,3783,3105,678,5067,4032,1035
"MIN","20132014",4920.05,82,199,198,1,183.08,182.58,0.5,2181,2273,-92,3041,3188,-147,4078,4314,-236
"MTL","20132014",4991.65,82,209,201,8,213.1,225.69,-12.59,2331,2541,-210,3273,3521,-248,4452,5012,-560
"N.J","20132014",5014.63,82,197,195,2,196.82,179.15,17.68,2200,2089,111,3032,2800,232,4045,3649,396
"NSH","20132014",4989.9,82,214,233,-19,196.56,186.81,9.75,2382,2370,12,3241,3326,-85,4240,4556,-316
"NYI","20132014",4915.98,82,216,261,-45,253.96,248.44,5.52,2537,2464,73,3468,3484,-16,4730,4726,4
"NYR","20132014",4766.88,82,214,190,24,238.46,216.45,22.01,2719,2412,307,3712,3312,400,4974,4431,543
"OTT","20132014",5008.7,82,229,258,-29,216.72,242.92,-26.2,2692,2850,-158,3784,3832,-48,5032,4787,245
"PHI","20132014",4991.68,82,233,227,6,220.21,213.47,6.74,2490,2508,-18,3495,3422,73,4776,4622,154
"PIT","20132014",4886.9,82,242,204,38,209.52,196.63,12.9,2454,2359,95,3319,3342,-23,4402,4529,-127
"S.J","20132014",5021.05,82,239,193,46,269.32,187.94,81.38,2851,2282,569,3999,3206,793,5379,4492,887
"STL","20132014",5002.03,82,239,188,51,208.33,186.94,21.39,2403,2163,240,3429,3034,395,4621,4155,466
"T.B","20132014",5013.12,82,232,209,23,206.25,210.02,-3.77,2447,2399,48,3443,3406,37,4478,4527,-49
"TOR","20132014",4907.25,82,222,252,-30,200.81,259.58,-58.77,2291,2944,-653,3156,4229,-1073,4264,5506,-1242
"VAN","20132014",5007.85,82,191,216,-25,213.15,215.91,-2.76,2526,2328,198,3557,3274,283,4806,4491,315
"WPG","20132014",5013.05,82,219,231,-12,233.62,229.68,3.94,2516,2473,43,3543,3458,85,4762,4714,48
"WSH","20132014",5037.1,82,225,229,-4,214.88,233.24,-18.36,2412,2751,-339,3364,3764,-400,4521,4975,-454
