"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20072008",4907.32,82,197,184,13,178.1,191.32,-13.22,2241,2300,-59,3142,3112,30,3935,3832,103
"ARI","20072008",4994.93,82,209,225,-16,199.57,218.77,-19.2,2500,2518,-18,3390,3515,-125,4394,4533,-139
"ATL","20072008",5011.78,82,207,266,-59,175.49,219.35,-43.87,2115,2782,-667,2801,3687,-886,3652,4763,-1111
"BOS","20072008",4973.2,82,206,214,-8,173.59,200.42,-26.82,2328,2483,-155,3211,3331,-120,4164,4207,-43
"BUF","20072008",4981.05,82,250,233,17,205.28,188.01,17.27,2463,2315,148,3322,3205,117,4274,4234,40
"CAR","20072008",4964.43,82,250,246,4,222.46,212.51,9.95,2669,2368,301,3661,3320,341,4882,4376,506
"CBJ","20072008",4925.52,81,186,207,-21,188.05,169.23,18.81,2355,2213,142,3152,2922,230,4132,3785,347
"CGY","20072008",4913.27,81,223,220,3,209.33,184.62,24.71,2280,2309,-29,3216,3126,90,4176,3885,291
"CHI","20072008",4920.95,81,234,230,4,188.22,199.93,-11.72,2270,2322,-52,2920,2973,-53,3720,3851,-131
"COL","20072008",4988.2,82,224,216,8,203.81,192.46,11.35,2349,2237,112,3074,3131,-57,3941,4212,-271
"DAL","20072008",5048.65,82,237,204,33,188.22,183.79,4.44,2187,2137,50,3080,3003,77,4055,3796,259
"DET","20072008",5045.2,82,252,179,73,229.51,169.77,59.74,2820,1929,891,3855,2653,1202,4870,3362,1508
"EDM","20072008",4935.35,82,220,247,-27,187.38,218.35,-30.98,2156,2573,-417,3031,3594,-563,4004,4737,-733
"FLA","20072008",4987.97,82,211,220,-9,191.31,219.63,-28.32,2548,2752,-204,3429,3709,-280,4413,4689,-276
"L.A","20072008",4876.92,82,226,263,-37,210.99,237.49,-26.5,2349,2625,-276,3293,3706,-413,4290,4752,-462
"MIN","20072008",4938.5,81,219,210,9,165.08,176.62,-11.54,2194,2442,-248,3113,3324,-211,4075,4226,-151
"MTL","20072008",4994.87,82,257,216,41,200.56,209.45,-8.89,2383,2589,-206,3307,3646,-339,4452,4989,-537
"N.J","20072008",5002.25,82,198,193,5,197.63,180.03,17.6,2362,2257,105,3269,3039,230,4268,3868,400
"NSH","20072008",5056.37,82,227,224,3,206.86,193.56,13.3,2425,2439,-14,3310,3231,79,4257,4104,153
"NYI","20072008",4987.3,82,189,240,-51,201.71,230.67,-28.96,2434,2487,-53,3271,3452,-181,4427,4586,-159
"NYR","20072008",5017.63,82,205,190,15,222.67,193.55,29.11,2577,2124,453,3574,2929,645,4596,3942,654
"OTT","20072008",4978.62,82,258,242,16,217.49,212.67,4.82,2471,2456,15,3406,3333,73,4561,4344,217
"PHI","20072008",4985.3,82,245,227,18,199.31,202.69,-3.39,2358,2608,-250,3235,3525,-290,4267,4697,-430
"PIT","20072008",4985.53,82,240,212,28,208.94,194.32,14.62,2269,2523,-254,3165,3554,-389,4064,4682,-618
"S.J","20072008",4966.3,82,216,187,29,222.16,168.82,53.34,2428,1981,447,3356,2768,588,4314,3759,555
"STL","20072008",4979.07,82,202,232,-30,174.43,206.88,-32.45,2140,2249,-109,2960,3245,-285,3760,4285,-525
"T.B","20072008",4963.28,82,221,266,-45,188.71,190.75,-2.04,2354,2312,42,3228,3199,29,4230,4271,-41
"TOR","20072008",4990.87,82,228,256,-28,209.92,218.39,-8.46,2542,2403,139,3557,3393,164,4669,4457,212
"VAN","20072008",5006.47,82,207,206,1,190.52,190.28,0.24,2251,2365,-114,3139,3313,-174,4035,4301,-266
"WSH","20072008",4986.92,82,238,227,11,209.71,192.69,17.02,2538,2258,280,3545,3074,471,4727,4079,648
